p,method,collision_score
0.625,baseline,0.16075760869750283
0.625,pi,0.3040045288133925
0.625,yarn,0.19739496653607283
0.625,anchored_hybrid,0.16493497755208375
0.625,sigmoid_formula,0.15587547727373763
0.65,baseline,0.1668740995597113
0.65,pi,0.31539108234878205
0.65,yarn,0.20452559475307286
0.65,anchored_hybrid,0.1712056337899348
0.65,sigmoid_formula,0.1615518934675936
0.675,baseline,0.17299059042191955
0.675,pi,0.32677763588417125
0.675,yarn,0.2116562229700729
0.675,anchored_hybrid,0.17747629002778612
0.675,sigmoid_formula,0.16722830966144955
0.7000000000000001,baseline,0.17910708128412797
0.7000000000000001,pi,0.3381641894195607
0.7000000000000001,yarn,0.21878685118707283
0.7000000000000001,anchored_hybrid,0.18374694626563726
0.7000000000000001,sigmoid_formula,0.17290472585530547
0.7250000000000001,baseline,0.18522357214633625
0.7250000000000001,pi,0.3495507429549499
0.7250000000000001,yarn,0.2259174794040728
0.7250000000000001,anchored_hybrid,0.19001760250348843
0.7250000000000001,sigmoid_formula,0.1785811420491615
0.75,baseline,0.1913400630085446
0.75,pi,0.36093729649033923
0.75,yarn,0.23304810762107278
0.75,anchored_hybrid,0.19628825874133957
0.75,sigmoid_formula,0.18425755824301743
0.775,baseline,0.19745655387075292
0.775,pi,0.37232385002572876
0.775,yarn,0.24017873583807275
0.775,anchored_hybrid,0.2025589149791908
0.775,sigmoid_formula,0.1899339744368734
0.8,baseline,0.20357304473296126
0.8,pi,0.38371040356111824
0.8,yarn,0.2473093640550727
0.8,anchored_hybrid,0.20882957121704193
0.8,sigmoid_formula,0.1956103906307294
0.8250000000000001,baseline,0.20968953559516937
0.8250000000000001,pi,0.39509695709650755
0.8250000000000001,yarn,0.25443999227207265
0.8250000000000001,anchored_hybrid,0.21510022745489304
0.8250000000000001,sigmoid_formula,0.20128680682458527
0.8500000000000001,baseline,0.2158060264573779
0.8500000000000001,pi,0.406483510631897
0.8500000000000001,yarn,0.2615706204890727
0.8500000000000001,anchored_hybrid,0.2213708836927442
0.8500000000000001,sigmoid_formula,0.20696322301844128
0.875,baseline,0.22192251731958632
0.875,pi,0.41787006416728645
0.875,yarn,0.26870124870607265
0.875,anchored_hybrid,0.22764153993059547
0.875,sigmoid_formula,0.21263963921229728
0.9,baseline,0.22803900818179454
0.9,pi,0.42925661770267565
0.9,yarn,0.27583187692307265
0.9,anchored_hybrid,0.23391219616844655
0.9,sigmoid_formula,0.2183160554061531
0.925,baseline,0.23415549904400282
0.925,pi,0.4406431712380651
0.925,yarn,0.28296250514007254
0.925,anchored_hybrid,0.24018285240629791
0.925,sigmoid_formula,0.22399247160000926
0.9500000000000001,baseline,0.2402719899062113
0.9500000000000001,pi,0.45202972477345466
0.9500000000000001,yarn,0.2900931333570728
0.9500000000000001,anchored_hybrid,0.24645350864414897
0.9500000000000001,sigmoid_formula,0.22966888779386513
0.9750000000000001,baseline,0.24638848076841965
0.9750000000000001,pi,0.4634162783088438
0.9750000000000001,yarn,0.29722376157407265
0.9750000000000001,anchored_hybrid,0.25272416488200017
0.9750000000000001,sigmoid_formula,0.2353453039877211
1.0,baseline,0.2525049716306277
1.0,pi,0.4748028318442332
1.0,yarn,0.3043543897910724
1.0,anchored_hybrid,0.25899482111985117
1.0,sigmoid_formula,0.2410217201815769
