slot_zero_based,slot_one_based,mr_exponent,bm_exponent_intended,bm_exponent_realized,exponent_delta_to_mr,native_frequency,mr_frequency,bm_frequency,frequency_ratio_to_mr,native_right_log_gap,mr_right_log_gap,bm_right_log_gap,p2_exponent,p2_frequency,bm_exponent_delta_to_p2
27,28,0.06535944746520171,0.15479876160990713,0.15479874879565456,0.08943931414470542,0.002942727180197835,0.0026878169737756252,0.002374388976022601,0.8833893822343319,0.21586730595022582,0.2611710838909469,0.3088592295634761,0.021339287539872017,0.0028569488786160946,0.1334594740700351
28,29,0.09803921534950834,0.2218782249742002,0.22187824231543513,0.12383900962469187,0.0023713738191872835,0.002070019952952862,0.001743476139381528,0.8422508859851701,0.21586746512293734,0.2702319633842483,0.3188738567298729,0.0741308739457372,0.0021397783420979977,0.147747351028463
29,30,0.13725491137051335,0.2961816305469556,0.29618164749103143,0.15892671917644227,0.001910952851176262,0.001579844276420772,0.0012674500467255712,0.8022626442633017,0.21586729791799472,0.2792925092083065,0.32602691390564903,0.22114845601203462,0.0014063885901123285,0.075033174534921
30,31,0.18300653026844718,0.37564499484004127,0.3756450133368421,0.1926384645715941,0.0015399265103042126,0.0011948656756430864,0.0009148273966275156,0.7656319997100495,0.2158672669619739,0.2883532630416894,0.33031879738640746,0.850558755346035,0.00047360098687931895,-0.4749137605059937
31,32,0.23529412380749823,0.4582043343653251,0.4582043410195834,0.22291021055782687,0.0012409378541633487,0.0008955479715950787,0.0006574814906343818,0.7341666906612809,0.21586738024577037,0.2974141084246922,0.3317495866331392,0.9978501759875588,0.0003111604310106486,-0.5396458416222336
32,33,0.2941176539797237,0.541795665634675,0.5417956832607477,0.24767801165495124,0.0010000000474974513,0.0006651560543105006,0.00047185277799144387,0.7093865791848883,0.21586735436485074,0.3064747939353064,0.33031887553553785,0.9999991602414913,0.0002500003029126674,-0.4582034946068163
33,34,0.35947710584769504,0.6243550051599587,0.6243550042683218,0.26487789931226363,0.0008058422245085239,0.000489579513669014,0.00033911800710484385,0.6926719718384879,0.21586735154562034,0.3155355618181579,0.3260269161659983,1.0,0.00020146055612713099,-0.3756449948400413
34,35,0.4313725221949293,0.7038183694530443,0.7038183330604751,0.27244584725811505,0.0006493816617876291,0.0003570983826648444,0.00024477054830640554,0.6854428924595146,0.21586743617990548,0.32459639176895194,0.318873894480753,1.0,0.00016234541544690728,-0.2961816305469557
35,36,0.509803884709606,0.7781217750257998,0.7781217863455594,0.2683178903161938,0.0005232990952208638,0.0002581175067462027,0.0001779401645762846,0.6893765820822316,0.21586735175527674,0.3336571112679981,0.30885926046256107,1.0,0.00013082477380521595,-0.22187822497420018
36,37,0.5947712356678594,0.8452012383900929,0.8452012691129587,0.2504300027222335,0.00042169648804701865,0.00018488940258976072,0.0001306586345890537,0.7066853630273433,0.21586730830550604,0.3427178208168398,0.2959833570433679,1.0,0.00010542412201175466,-0.15479876160990713
37,38,0.6862745383350216,0.9029927760577915,0.9029927822178244,0.21671823772276988,0.0003398208355065435,0.00013124161341693252,9.718386718304828e-05,0.740495827907201,0.21586738327251834,0.3517785829395478,0.2802463243959021,1.0,8.495520887663588e-05,-0.09700722394220851
38,39,0.7843137452154681,0.9494324045407637,0.9494323717660186,0.16511865932529557,0.00027384195709601045,9.232005686499178e-05,7.343189645325765e-05,0.7954056674883113,0.21586726685670693,0.3608391957609323,0.2616479424885765,1.0,6.846048927400261e-05,-0.05056759545923628
39,40,0.8888888866645848,0.9824561403508771,0.9824561486173408,0.09356725368629237,0.00022067342069931328,6.435548857552931e-05,5.652655090671033e-05,0.8783485629258998,0.21586741944923338,0.3699001293238726,0.2401883616933393,1.0,5.516835517482832e-05,-0.01754385964912286
40,41,1.0,1.0,1.0,0.0,0.00017782794020604342,4.4456985051510856e-05,4.4456985051510856e-05,1.0,0.21586728687821302,0.21586728687821302,0.21586728687821302,1.0,4.4456985051510856e-05,0.0
41,42,1.0,1.0,1.0,0.0,0.00014330126577988267,3.582531644497067e-05,3.582531644497067e-05,1.0,0.21586746060035072,0.21586746060035072,0.21586746060035072,1.0,3.582531644497067e-05,0.0
42,43,1.0,1.0,1.0,0.0,0.00011547819303814322,2.8869548259535804e-05,2.8869548259535804e-05,1.0,0.2158672853894777,0.2158672853894777,0.2158672853894777,1.0,2.8869548259535804e-05,0.0
43,44,1.0,1.0,1.0,0.0,9.305720595875755e-05,2.3264301489689387e-05,2.3264301489689387e-05,1.0,0.2158673273558259,0.2158673273558259,0.2158673273558259,1.0,2.3264301489689387e-05,0.0
44,45,1.0,1.0,1.0,0.0,7.498942431993783e-05,1.8747356079984456e-05,1.8747356079984456e-05,1.0,0.21586743930505564,0.21586743930505564,0.21586743930505564,1.0,1.8747356079984456e-05,0.0
45,46,1.0,1.0,1.0,0.0,6.042963650543243e-05,1.5107409126358107e-05,1.5107409126358107e-05,1.0,0.21586726647222948,0.21586726647222948,0.21586726647222948,1.0,1.5107409126358107e-05,0.0
46,47,1.0,1.0,1.0,0.0,4.869675467489287e-05,1.2174188668723218e-05,1.2174188668723218e-05,1.0,0.2158673664405187,0.2158673664405187,0.2158673664405187,1.0,1.2174188668723218e-05,0.0
47,48,1.0,1.0,1.0,0.0,3.92418987757992e-05,9.8104746939498e-06,9.8104746939498e-06,1.0,0.2158674569082015,0.2158674569082015,0.2158674569082015,1.0,9.8104746939498e-06,0.0
48,49,1.0,1.0,1.0,0.0,3.162277425872162e-05,7.905693564680405e-06,7.905693564680405e-06,1.0,0.2158673160044516,0.2158673160044516,0.2158673160044516,1.0,7.905693564680405e-06,0.0
