slot_zero_based,slot_one_based,x,psi,native_frequency,mr_frequency,candidate_frequency,mr_exponent,candidate_exponent_intended,candidate_exponent_realized,exponent_delta_to_mr,frequency_ratio_to_mr,frequency_ratio_to_native
36,37,1.0,0.0,0.0006227724370546639,0.00015569310926366597,0.00015569310926366597,1.0,1.0,1.0,0.0,1.0,0.25
37,38,1.0,0.0,0.0005073211505077779,0.00012683028762694448,0.00012683028762694448,1.0,1.0,1.0,0.0,1.0,0.25
38,39,1.0,0.0,0.0004132725589442998,0.00010331813973607495,0.00010331813973607495,1.0,1.0,1.0,0.0,1.0,0.25
39,40,1.0,0.0,0.00033665893715806305,8.416473428951576e-05,8.416473428951576e-05,1.0,1.0,1.0,0.0,1.0,0.25
40,41,1.0,0.0,0.00027424818836152554,6.856204709038138e-05,6.856204709038138e-05,1.0,1.0,1.0,0.0,1.0,0.25
41,42,1.0,0.0,0.00022340727446135134,5.5851818615337834e-05,5.5851818615337834e-05,1.0,1.0,1.0,0.0,1.0,0.25
42,43,1.0,0.0,0.00018199143232777715,4.549785808194429e-05,4.549785808194429e-05,1.0,1.0,1.0,0.0,1.0,0.25
43,44,1.0,0.0,0.00014825335529167205,3.706333882291801e-05,3.706333882291801e-05,1.0,1.0,1.0,0.0,1.0,0.25
44,45,1.0,0.0,0.00012076974235242233,3.0192435588105582e-05,3.0192435588105582e-05,1.0,1.0,1.0,0.0,1.0,0.25
45,46,1.0,0.0,9.838111145654693e-05,2.4595277864136733e-05,2.4595277864136733e-05,1.0,1.0,1.0,0.0,1.0,0.25
46,47,1.0,0.0,8.014294871827587e-05,2.003573717956897e-05,2.003573717956897e-05,1.0,1.0,1.0,0.0,1.0,0.25
47,48,1.0,0.0,6.528582161990926e-05,1.6321455404977314e-05,1.6321455404977314e-05,1.0,1.0,1.0,0.0,1.0,0.25
48,49,1.0,0.0,5.3182957344688475e-05,1.3295739336172119e-05,1.3295739336172119e-05,1.0,1.0,1.0,0.0,1.0,0.25
49,50,1.0,0.0,4.332375465310179e-05,1.0830938663275447e-05,1.0830938663275447e-05,1.0,1.0,1.0,0.0,1.0,0.25
50,51,1.0,0.0,3.529227615217678e-05,8.823069038044196e-06,8.823069038044196e-06,1.0,1.0,1.0,0.0,1.0,0.25
51,52,1.0,0.0,2.8749695047736168e-05,7.187423761934042e-06,7.187423761934042e-06,1.0,1.0,1.0,0.0,1.0,0.25
52,53,1.0,0.0,2.3419997887685895e-05,5.854999471921474e-06,5.854999471921474e-06,1.0,1.0,1.0,0.0,1.0,0.25
53,54,1.0,0.0,1.907833393488545e-05,4.7695834837213624e-06,4.7695834837213624e-06,1.0,1.0,1.0,0.0,1.0,0.25
54,55,1.0,0.0,1.5541540051344782e-05,3.8853850128361955e-06,3.8853850128361955e-06,1.0,1.0,1.0,0.0,1.0,0.25
55,56,1.0,0.0,1.2660406355280429e-05,3.1651015888201073e-06,3.1651015888201073e-06,1.0,1.0,1.0,0.0,1.0,0.25
56,57,1.0,0.0,1.0313385246263351e-05,2.578346311565838e-06,2.578346311565838e-06,1.0,1.0,1.0,0.0,1.0,0.25
57,58,1.0,0.0,8.401460945606232e-06,2.100365236401558e-06,2.100365236401558e-06,1.0,1.0,1.0,0.0,1.0,0.25
58,59,1.0,0.0,6.843975370429689e-06,1.7109938426074223e-06,1.7109938426074223e-06,1.0,1.0,1.0,0.0,1.0,0.25
59,60,1.0,0.0,5.575220257014735e-06,1.3938050642536837e-06,1.3938050642536837e-06,1.0,1.0,1.0,0.0,1.0,0.25
60,61,1.0,0.0,4.541670477919979e-06,1.1354176194799948e-06,1.1354176194799948e-06,1.0,1.0,1.0,0.0,1.0,0.25
61,62,1.0,0.0,3.6997230381530244e-06,9.249307595382561e-07,9.249307595382561e-07,1.0,1.0,1.0,0.0,1.0,0.25
62,63,1.0,0.0,3.01385807688348e-06,7.5346451922087e-07,7.5346451922087e-07,1.0,1.0,1.0,0.0,1.0,0.25
63,64,1.0,0.0,2.4551407022954663e-06,6.137851755738666e-07,6.137851755738666e-07,1.0,1.0,1.0,0.0,1.0,0.25
