arm,target_length,prompt_sha8,example_id,layer,n_frozen_heads_in_layer,hit16_all_heads,hit16_frozen_heads,dense_answer_mass_all_heads,dense_answer_mass_frozen_heads,block_rank_median_all_heads,block_rank_median_frozen_heads
evq,16384,c4b929f0,passkey-L16384-d25p0-t01-s42,21,1,0.25,0.0,0.0008346003346913359,6.3983502940345716e-09,28.5,80.0
evq,16384,c4b929f0,passkey-L16384-d25p0-t01-s42,22,1,0.4375,1.0,0.004006992563245682,0.06518592685461044,27.0,1.0
evq,16384,c4b929f0,passkey-L16384-d25p0-t01-s42,23,1,0.28125,1.0,0.012840271520736319,0.14381256699562073,35.0,1.0
evq,16384,c4b929f0,passkey-L16384-d25p0-t01-s42,24,1,0.6875,1.0,0.011295665202306182,0.007568035274744034,10.0,8.0
evq,16384,c4b929f0,passkey-L16384-d25p0-t01-s42,25,0,0.46875,nan,0.00042363170872392893,nan,18.5,nan
evq,16384,c4b929f0,passkey-L16384-d25p0-t01-s42,26,2,0.21875,0.0,0.0020227464410009777,5.549836726004287e-05,35.5,50.0
evq,16384,c4b929f0,passkey-L16384-d25p0-t01-s42,27,1,0.46875,1.0,0.01193121101649955,0.009588940069079399,20.0,10.0
evq,16384,c4b929f0,passkey-L16384-d25p0-t01-s42,28,1,0.1875,1.0,0.00021418506083427125,0.0018761904211714864,32.5,1.0
evq,16384,c4b929f0,passkey-L16384-d25p0-t01-s42,29,1,0.28125,0.0,0.0008539330109512391,6.628447590628639e-05,38.5,91.0
evq,16384,c4b929f0,passkey-L16384-d25p0-t01-s42,30,4,0.34375,0.75,0.00045875432838415886,0.0005245076954452088,29.5,10.5
evq,16384,c4b929f0,passkey-L16384-d25p0-t01-s42,31,1,0.1875,0.0,0.00017782589490461433,1.4371596535056597e-06,45.0,65.0
evq,16384,8c28ff35,passkey-L16384-d50p0-t00-s42,0,0,0.03125,nan,1.9184323890873643e-05,nan,55.0,nan
evq,16384,8c28ff35,passkey-L16384-d50p0-t00-s42,1,0,0.09375,nan,9.648293215036574e-05,nan,52.0,nan
evq,16384,8c28ff35,passkey-L16384-d50p0-t00-s42,2,0,0.03125,nan,0.00013481357174477404,nan,53.5,nan
evq,16384,8c28ff35,passkey-L16384-d50p0-t00-s42,3,0,0.03125,nan,0.00017682602862989505,nan,61.0,nan
evq,16384,8c28ff35,passkey-L16384-d50p0-t00-s42,4,0,0.03125,nan,0.0001251002439827953,nan,64.0,nan
evq,16384,8c28ff35,passkey-L16384-d50p0-t00-s42,5,0,0.21875,nan,0.00019008509920581673,nan,38.0,nan
evq,16384,8c28ff35,passkey-L16384-d50p0-t00-s42,6,0,0.25,nan,0.00020291216737819352,nan,47.0,nan
evq,16384,8c28ff35,passkey-L16384-d50p0-t00-s42,7,0,0.15625,nan,3.714522967153931e-05,nan,72.0,nan
evq,16384,8c28ff35,passkey-L16384-d50p0-t00-s42,8,0,0.1875,nan,0.0005103280724730653,nan,48.5,nan
evq,16384,8c28ff35,passkey-L16384-d50p0-t00-s42,9,0,0.15625,nan,0.0010125629869662972,nan,52.0,nan
evq,16384,8c28ff35,passkey-L16384-d50p0-t00-s42,10,0,0.34375,nan,0.0005096238357609195,nan,26.0,nan
evq,16384,8c28ff35,passkey-L16384-d50p0-t00-s42,11,1,0.1875,0.0,0.00042656667493637645,0.0005697963642887771,57.0,49.0
evq,16384,8c28ff35,passkey-L16384-d50p0-t00-s42,12,0,0.25,nan,0.0005623974740921675,nan,39.0,nan
evq,16384,8c28ff35,passkey-L16384-d50p0-t00-s42,13,5,0.6875,0.6,0.012047131250568555,0.003603571341955103,5.0,4.0
evq,16384,8c28ff35,passkey-L16384-d50p0-t00-s42,14,3,0.6875,1.0,0.003938669249605202,0.005947452038526535,5.0,3.0
evq,16384,8c28ff35,passkey-L16384-d50p0-t00-s42,15,1,0.3125,1.0,0.0006417484079719177,0.007933028042316437,49.0,4.0
evq,16384,8c28ff35,passkey-L16384-d50p0-t00-s42,16,1,0.625,1.0,0.005309589670974613,0.004051108378916979,6.0,7.0
evq,16384,8c28ff35,passkey-L16384-d50p0-t00-s42,17,4,0.375,1.0,0.005609894767431026,0.027819138253107667,35.0,2.0
