arm,prompt_sha256,prompt_sha8,depth_percent,matched_pair,answer_position,layer,gold_token_id,delta_gold_raw,delta_gold_centred,delta_median_vocab,delta_mad_vocab,delta_gold_z,causal_delta_rank,l2_centred,kl_full_abl,kl_abl_full,tvd,gold_rank_full,gold_rank_ablated,gold_logprob_full,gold_logprob_ablated,gold_logit_full,gold_logit_ablated,gap_to_best_competitor_full,gap_to_best_competitor_ablated,best_competitor_id_full,best_competitor_id_ablated,entropy_full,top1_prob_full,gold_prob_full
evq,6cd995c675a4a2ebe7e28c6753b5f14fcbaf8f380ac18f8c7f7218e0e55ff4b8,6cd995c6,10.0,1,0,30,24963,-0.041015625,0.017578125,-0.05859375,0.21484375,0.05518560856580734,61560,119.7623519897461,0.12378932535648346,0.1567600667476654,0.2250448316335678,36394,36640,-16.059682846069336,-15.101943969726562,0.421875,0.462890625,15.828125,14.537109375,220,220,1.2314879894256592,0.7932973504066467,1.0601525701758874e-07
evq,6cd995c675a4a2ebe7e28c6753b5f14fcbaf8f380ac18f8c7f7218e0e55ff4b8,6cd995c6,10.0,1,0,31,24963,0.53125,0.40625,0.125,0.171875,1.5942509174346924,7862,93.62385559082031,0.012201272882521152,0.012570610269904137,0.04379786550998688,22569,27839,-14.160506248474121,-14.58733081817627,1.6484375,1.1171875,13.6015625,14.0078125,220,220,3.3355982303619385,0.5718129873275757,7.082234105837415e-07
evq,6cd995c675a4a2ebe7e28c6753b5f14fcbaf8f380ac18f8c7f7218e0e55ff4b8,6cd995c6,10.0,1,1,0,4146,0.00927734375,0.00927734375,0.0,0.0078125,0.8009577989578247,16683,4.201181411743164,0.00010104959073942155,9.971884719561785e-05,0.004554316401481628,52313,52617,-13.435920715332031,-13.446724891662598,0.1328125,0.12353515625,9.5546875,9.56396484375,90324,90324,9.47768783569336,0.02062537893652916,1.4616849739468307e-06
evq,6cd995c675a4a2ebe7e28c6753b5f14fcbaf8f380ac18f8c7f7218e0e55ff4b8,6cd995c6,10.0,1,1,1,4146,-0.0390625,-0.02838134765625,-0.01068115234375,0.02435302734375,-0.7860606908798218,100361,13.156061172485352,0.0011721811024472117,0.0011845818953588605,0.018709342926740646,96817,96212,-15.395776748657227,-15.369434356689453,-1.046875,-1.0078125,11.296875,11.3828125,43816,34304,9.083605766296387,0.01659087836742401,2.0592027283328207e-07
evq,6cd995c675a4a2ebe7e28c6753b5f14fcbaf8f380ac18f8c7f7218e0e55ff4b8,6cd995c6,10.0,1,1,2,4146,-0.03125,-0.03125,0.0,0.01953125,-1.0791852474212646,101913,11.335472106933594,0.0006249548168852925,0.0006242498639039695,0.013083161786198616,113634,113259,-16.498931884765625,-16.469745635986328,-1.90625,-1.875,12.90625,12.875,78342,78342,9.192726135253906,0.027524420991539955,6.83289798075748e-08
evq,6cd995c675a4a2ebe7e28c6753b5f14fcbaf8f380ac18f8c7f7218e0e55ff4b8,6cd995c6,10.0,1,1,3,4146,-0.03515625,-0.03515625,0.0,0.0205078125,-1.156269907951355,108924,11.477429389953613,0.0006300077075138688,0.0006257075001485646,0.013651702553033829,48516,47753,-13.446846961975098,-13.416982650756836,0.85546875,0.890625,9.83203125,9.859375,63364,63364,9.147348403930664,0.026921886950731277,1.4458012174145551e-06
evq,6cd995c675a4a2ebe7e28c6753b5f14fcbaf8f380ac18f8c7f7218e0e55ff4b8,6cd995c6,10.0,1,1,4,4146,-0.0546875,-0.0546875,0.0,0.01953125,-1.8885741233825684,122382,11.337574005126953,0.0006235929322429001,0.0006232236046344042,0.013291371054947376,21170,20210,-11.957937240600586,-11.902029037475586,1.9609375,2.015625,7.4140625,7.359375,78342,78342,9.47830581665039,0.010632134974002838,6.408167337212944e-06
evq,6cd995c675a4a2ebe7e28c6753b5f14fcbaf8f380ac18f8c7f7218e0e55ff4b8,6cd995c6,10.0,1,1,5,4146,0.0078125,0.001953125,0.005859375,0.044921875,0.029325684532523155,61379,25.12019920349121,0.003179942723363638,0.0031719692051410675,0.0313243567943573,35604,35634,-12.790276527404785,-12.787242889404297,1.3046875,1.296875,8.8828125,8.890625,64519,64519,9.293440818786621,0.020091388374567032,2.7877476895810105e-06
evq,6cd995c675a4a2ebe7e28c6753b5f14fcbaf8f380ac18f8c7f7218e0e55ff4b8,6cd995c6,10.0,1,1,6,4146,-0.03125,-0.0390625,0.0078125,0.041015625,-0.6423721313476562,91453,23.53432846069336,0.0024970839731395245,0.0025003920309245586,0.028197050094604492,17000,16527,-11.671499252319336,-11.634824752807617,2.0625,2.09375,7.0,7.03125,34704,34704,9.521926879882812,0.009358232840895653,8.533599611837417e-06
evq,6cd995c675a4a2ebe7e28c6753b5f14fcbaf8f380ac18f8c7f7218e0e55ff4b8,6cd995c6,10.0,1,1,7,4146,-0.015625,-0.02734375,0.01171875,0.04296875,-0.42922139167785645,81361,24.71709632873535,0.002643406158313155,0.0026432587765157223,0.02919057011604309,24677,24185,-12.261369705200195,-12.229454040527344,1.953125,1.96875,7.859375,7.78125,4377,4377,9.233823776245117,0.01225288026034832,4.7310199988714885e-06
evq,6cd995c675a4a2ebe7e28c6753b5f14fcbaf8f380ac18f8c7f7218e0e55ff4b8,6cd995c6,10.0,1,1,8,4146,-0.046875,-0.0546875,0.0078125,0.041015625,-0.8993210196495056,101604,23.723886489868164,0.00241729523986578,0.0024090998340398073,0.027295555919408798,14092,13387,-11.523695945739746,-11.466134071350098,2.328125,2.375,8.671875,8.625,99074,99074,9.065680503845215,0.057739097625017166,9.892873094941024e-06
evq,6cd995c675a4a2ebe7e28c6753b5f14fcbaf8f380ac18f8c7f7218e0e55ff4b8,6cd995c6,10.0,1,1,9,4146,-0.0791015625,-0.0869140625,0.0078125,0.0390625,-1.500741958618164,117607,23.06197166442871,0.002266642637550831,0.0022648072335869074,0.027154745534062386,65027,62412,-13.991325378417969,-13.897793769836426,0.1826171875,0.26171875,10.9423828125,10.80078125,99074,99074,9.017305374145508,0.047409042716026306,8.387733032577671e-07
evq,6cd995c675a4a2ebe7e28c6753b5f14fcbaf8f380ac18f8c7f7218e0e55ff4b8,6cd995c6,10.0,1,1,10,4146,-0.3046875,-0.3671875,0.0625,0.53125,-0.4661921560764313,87031,291.5743713378906,0.40689629316329956,0.4044726490974426,0.35004401206970215,34644,27076,-12.823029518127441,-12.425748825073242,1.421875,1.7265625,9.390625,8.3984375,4377,91191,9.094327926635742,0.032309167087078094,2.697919853744679e-06
evq,6cd995c675a4a2ebe7e28c6753b5f14fcbaf8f380ac18f8c7f7218e0e55ff4b8,6cd995c6,10.0,1,1,11,4146,-0.34375,-0.5029296875,0.1591796875,0.5439453125,-0.6236315369606018,93804,297.2718811035156,0.3920711278915405,0.3996112644672394,0.3408232629299164,10989,6665,-11.202065467834473,-10.688085556030273,3.0625,3.40625,7.125,6.96875,88307,55089,9.375746726989746,0.016957154497504234,1.3645982107846066e-05
evq,6cd995c675a4a2ebe7e28c6753b5f14fcbaf8f380ac18f8c7f7218e0e55ff4b8,6cd995c6,10.0,1,1,12,4146,-0.8203125,-0.71875,-0.1015625,0.5419921875,-0.8944598436355591,104377,294.90118408203125,0.38714972138404846,0.3966946601867676,0.33678144216537476,30720,18210,-12.507996559143066,-11.779376983642578,1.2109375,2.03125,8.6015625,7.71875,1108,55089,9.395291328430176,0.02011209726333618,3.696971589306486e-06
