case,b,L,phi,exact,approx_fit,approx_theory
b1e4,10000.0,16384,0.565625,0.7029804503082339,0.7030617839630615,0.7029684334787782
b1e4,10000.0,16384,0.56875,0.7041805509267242,0.7045450310964816,0.7044514370925672
b1e4,10000.0,16384,0.571875,0.7057568911947154,0.7060282782299018,0.7059344407063564
b1e4,10000.0,16384,0.5750000000000001,0.7076565149718831,0.707511525363322,0.7074174443201453
b1e4,10000.0,16384,0.578125,0.7090991153077159,0.708994772496742,0.7089004479339343
b1e4,10000.0,16384,0.58125,0.7100887956737894,0.7104780196301621,0.7103834515477233
b1e4,10000.0,16384,0.584375,0.711813142026619,0.7119612667635822,0.7118664551615123
b1e4,10000.0,16384,0.5875,0.713688929426926,0.7134445138970024,0.7133494587753013
b1e4,10000.0,16384,0.5906250000000001,0.7145642063779017,0.7149277610304225,0.7148324623890903
b1e4,10000.0,16384,0.59375,0.7162955874555452,0.7164110081638426,0.7163154660028792
b1e4,10000.0,16384,0.596875,0.7180837729338827,0.7178942552972627,0.7177984696166684
b1e4,10000.0,16384,0.6000000000000001,0.7188882651021395,0.7193775024306829,0.7192814732304573
b1e4,10000.0,16384,0.603125,0.7211235396522997,0.720860749564103,0.7207644768442463
b1e4,10000.0,16384,0.6062500000000001,0.7220037237132015,0.7223439966975231,0.7222474804580353
b1e4,10000.0,16384,0.609375,0.7238465853754481,0.7238272438309432,0.7237304840718243
b1e4,10000.0,16384,0.6125,0.7252062825357078,0.7253104909643633,0.7252134876856133
b1e4,10000.0,16384,0.6156250000000001,0.7266336376947065,0.7267937380977835,0.7266964912994023
b1e4,10000.0,16384,0.61875,0.7282748739372112,0.7282769852312037,0.7281794949131912
b1e4,10000.0,16384,0.6218750000000001,0.729578364335479,0.7297602323646237,0.7296624985269804
b1e4,10000.0,16384,0.625,0.7311761720993116,0.7312434794980438,0.7311455021407693
b1e4,10000.0,16384,0.628125,0.73270073206607,0.7327267266314639,0.7326285057545583
b1e4,10000.0,16384,0.6312500000000001,0.7338946264264404,0.7342099737648842,0.7341115093683473
b1e4,10000.0,16384,0.634375,0.7359804212409033,0.7356932208983042,0.7355945129821363
b1e4,10000.0,16384,0.6375000000000001,0.7365511257267348,0.7371764680317243,0.7370775165959254
b1e4,10000.0,16384,0.640625,0.7391251015138284,0.7386597151651444,0.7385605202097143
b1e4,10000.0,16384,0.64375,0.7396244145494261,0.7401429622985646,0.7400435238235034
b1e4,10000.0,16384,0.6468750000000001,0.7416007699596506,0.7416262094319848,0.7415265274372924
b1e4,10000.0,16384,0.65,0.7433714283428767,0.7431094565654048,0.7430095310510814
b1e4,10000.0,16384,0.6531250000000001,0.7438558518607822,0.7445927036988249,0.7444925346648703
b1e4,10000.0,16384,0.65625,0.7464727701228938,0.746075950832245,0.7459755382786593
b1e4,10000.0,16384,0.659375,0.7475194976072367,0.7475591979656652,0.7474585418924483
b1e4,10000.0,16384,0.6625000000000001,0.7483198336660393,0.7490424450990854,0.7489415455062374
b1e4,10000.0,16384,0.665625,0.7510303708776344,0.7505256922325054,0.7504245491200263
b1e4,10000.0,16384,0.6687500000000001,0.7520007644731134,0.7520089393659255,0.7519075527338154
b1e4,10000.0,16384,0.671875,0.7526528775914338,0.7534921864993456,0.7533905563476043
b1e4,10000.0,16384,0.675,0.7553237567585764,0.7549754336327658,0.7548735599613934
b1e4,10000.0,16384,0.6781250000000001,0.7568654321901498,0.7564586807661859,0.7563565635751823
b1e4,10000.0,16384,0.68125,0.7570869959202706,0.757941927899606,0.7578395671889713
b1e4,10000.0,16384,0.6843750000000001,0.759097587712998,0.7594251750330261,0.7593225708027603
b1e4,10000.0,16384,0.6875,0.7616816509607449,0.7609084221664462,0.7608055744165494
b1e4,10000.0,16384,0.690625,0.7623351893487068,0.7623916692998663,0.7622885780303383
b1e4,10000.0,16384,0.6937500000000001,0.7628356681093857,0.7638749164332865,0.7637715816441274
b1e4,10000.0,16384,0.696875,0.7652311023193908,0.7653581635667066,0.7652545852579163
b1e4,10000.0,16384,0.7000000000000001,0.7677262582136883,0.7668414107001267,0.7667375888717054
b1e4,10000.0,16384,0.703125,0.7683984376401571,0.7683246578335468,0.7682205924854943
b1e4,10000.0,16384,0.70625,0.7687046746572599,0.7698079049669669,0.7697035960992833
b1e4,10000.0,16384,0.7093750000000001,0.7706753795029645,0.7712911521003871,0.7711865997130725
b1e4,10000.0,16384,0.7125,0.7735123160404569,0.7727743992338072,0.7726696033268614
b1e4,10000.0,16384,0.7156250000000001,0.7750959777443424,0.7742576463672273,0.7741526069406504
b1e4,10000.0,16384,0.71875,0.7752781826155288,0.7757408935006473,0.7756356105544393
b1e4,10000.0,16384,0.721875,0.7759064238586966,0.7772241406340676,0.7771186141682284
b1e4,10000.0,16384,0.7250000000000001,0.7781300457659263,0.7787073877674877,0.7786016177820174
b1e4,10000.0,16384,0.728125,0.7809911379205073,0.7801906349009078,0.7800846213958064
b1e4,10000.0,16384,0.7312500000000001,0.7828089830958669,0.7816738820343279,0.7815676250095953
b1e4,10000.0,16384,0.734375,0.7832060180404645,0.783157129167748,0.7830506286233844
b1e4,10000.0,16384,0.7375,0.7833869935318896,0.7846403763011682,0.7845336322371734
b1e4,10000.0,16384,0.7406250000000001,0.7847090264239915,0.7861236234345883,0.7860166358509624
b1e4,10000.0,16384,0.74375,0.7873172079716502,0.7876068705680084,0.7874996394647513
b1e4,10000.0,16384,0.7468750000000001,0.7901412234267178,0.7890901177014285,0.7889826430785404
b1e4,10000.0,16384,0.75,0.7919874658326567,0.7905733648348486,0.7904656466923294
b1e4,10000.0,16384,0.753125,0.7925647143167154,0.7920566119682688,0.7919486503061184
b1e4,10000.0,16384,0.7562500000000001,0.7926153300949712,0.7935398591016889,0.7934316539199073
b1e4,10000.0,16384,0.759375,0.7932306496129042,0.795023106235109,0.7949146575336964
b1e4,10000.0,16384,0.7625000000000001,0.7950223671972072,0.7965063533685292,0.7963976611474854
b1e4,10000.0,16384,0.765625,0.7977602113557802,0.7979896005019492,0.7978806647612744
b1e4,10000.0,16384,0.76875,0.8006207811462545,0.7994728476353694,0.7993636683750633
b1e4,10000.0,16384,0.7718750000000001,0.8027639343629451,0.8009560947687895,0.8008466719888524
b1e4,10000.0,16384,0.775,0.8038235688866258,0.8024393419022096,0.8023296756026415
