L,index,theta_sigmoid,log_theta_sigmoid,k,x0
8192,48,0.0001040095798197481,-9.17102754941368,0.3300088691307584,31.5
8192,49,0.00010286198425322699,-9.182122426988608,0.3300088691307584,31.5
8192,50,0.00010204309563140809,-9.190115327720335,0.3300088691307584,31.5
8192,51,0.00010145754062616119,-9.195870165956292,0.3300088691307584,31.5
8192,52,0.00010103820208280476,-9.200011874193532,0.3300088691307584,31.5
8192,53,0.00010073757135730756,-9.202991725964894,0.3300088691307584,31.5
8192,54,0.00010052187564150944,-9.205135186076681,0.3300088691307584,31.5
8192,55,0.00010036703173852348,-9.206676773769809,0.3300088691307584,31.5
8192,56,0.00010025582717979126,-9.207785366985165,0.3300088691307584,31.5
8192,57,0.00010017593990478463,-9.208582518857835,0.3300088691307584,31.5
8192,58,0.00010011853835276785,-9.209155690460843,0.3300088691307584,31.5
8192,59,0.00010007728729261267,-9.209567797562539,0.3300088691307584,31.5
8192,60,0.00010004763941153368,-9.209864091300496,0.3300088691307584,31.5
8192,61,0.0001000263292840344,-9.210077113791316,0.3300088691307584,31.5
8192,62,0.000100011011259197,-9.210230265446159,0.3300088691307584,31.5
8192,63,0.0001,-9.210340371976182,0.3300088691307584,31.5
16384,0,1.0,0.0,0.36189839376732125,31.5
16384,1,0.9999550289405043,-4.497207072415996e-05,0.36189839376732125,31.5
16384,2,0.9998904524201274,-0.00010955358064696085,0.36189839376732125,31.5
16384,3,0.9997977259911002,-0.00020229446904624954,0.36189839376732125,31.5
16384,4,0.9996645842290659,-0.0003354720353854702,0.36189839376732125,31.5
16384,5,0.9994734233446837,-0.0005267153454927406,0.36189839376732125,31.5
16384,6,0.9991989839973056,-0.0008013369874334516,0.36189839376732125,31.5
16384,7,0.9988050349588362,-0.0011956795811788683,0.36189839376732125,31.5
16384,8,0.9982396338760409,-0.0017619173892014976,0.36189839376732125,31.5
16384,9,0.9974283692021012,-0.002574943120311332,0.36189839376732125,31.5
16384,10,0.9962647533557666,-0.003742240098262059,0.36189839376732125,31.5
16384,11,0.994596628147476,-0.005418022866630204,0.36189839376732125,31.5
16384,12,0.992207054685525,-0.00782346899581225,0.36189839376732125,31.5
16384,13,0.9887877125204233,-0.011275619014070239,0.36189839376732125,31.5
16384,14,0.9839024120032421,-0.01622856164148175,0.36189839376732125,31.5
16384,15,0.9769381567466334,-0.0233319280762646,0.36189839376732125,31.5
16384,16,0.9670417965770379,-0.03351356152907167,0.36189839376732125,31.5
16384,17,0.9530427523121233,-0.04809551556591898,0.36189839376732125,31.5
16384,18,0.9333685853880366,-0.06895510214161153,0.36189839376732125,31.5
16384,19,0.9059737194174844,-0.09874498062534635,0.36189839376732125,31.5
16384,20,0.8683270933430924,-0.14118679965778347,0.36189839376732125,31.5
16384,21,0.8175456702421741,-0.20144851203149847,0.36189839376732125,31.5
16384,22,0.7508120004174306,-0.28659999089001875,0.36189839376732125,31.5
16384,23,0.6662407606978086,-0.40610417121878906,0.36189839376732125,31.5
16384,24,0.5642681785239316,-0.5722256466586916,0.36189839376732125,31.5
16384,25,0.4492799554191837,-0.8001090768119946,0.36189839376732125,31.5
16384,26,0.33051656782989713,-1.1070984913556252,0.36189839376732125,31.5
16384,27,0.22075459821910873,-1.5107036097303712,0.36189839376732125,31.5
16384,28,0.13203717290586192,-2.024671783118046,0.36189839376732125,31.5
16384,29,0.07042296257006125,-2.6532358961307585,0.36189839376732125,31.5
16384,30,0.03387741240849426,-3.3850067873070397,0.36189839376732125,31.5
16384,31,0.015151691545913655,-4.1896431000638925,0.36189839376732125,31.5
16384,32,0.006599923163494548,-5.02069727191229,0.36189839376732125,31.5
16384,33,0.00295181930645112,-5.825333584669142,0.36189839376732125,31.5
16384,34,0.0014199913827895783,-6.557104475845424,0.36189839376732125,31.5
16384,35,0.0007573624745153902,-7.185668588858136,0.36189839376732125,31.5
16384,36,0.0004529916966927481,-7.699636762245811,0.36189839376732125,31.5
16384,37,0.0003025566937735656,-8.103241880620557,0.36189839376732125,31.5
16384,38,0.0002225783696641857,-8.41023129516419,0.36189839376732125,31.5
16384,39,0.00017722069718974722,-8.638114725317491,0.36189839376732125,31.5
16384,40,0.00015009589010324425,-8.804236200757392,0.36189839376732125,31.5
16384,41,0.00013318913382365073,-8.923740381086164,0.36189839376732125,31.5
16384,42,0.00012231732567353446,-9.008891859944685,0.36189839376732125,31.5
16384,43,0.00011516397538051732,-9.069153572318399,0.36189839376732125,31.5
16384,44,0.00011037847771599504,-9.111595391350837,0.36189839376732125,31.5
16384,45,0.00010713881050370502,-9.14138526983457,0.36189839376732125,31.5
16384,46,0.00010492708722394221,-9.162244856410263,0.36189839376732125,31.5
