b,L_train,L_eval,alloc,tau,n_wL_le1,erank_raw,erank_whit,C_cos,C_full,cond_whit,erank_raw_sym,erank_whit_sym,C_cos_sym,C_full_sym,logdet_erank_sym
500000.0,4096,16384,EVQ-Cosh tau=1.4,1.4,13,41.325691,43.154376,139.66353,198.22037,1.0363966e+10,53.52754,57.007511,120.6458,135.048,1.5983224
500000.0,4096,4096,EVQ-Cosh tau=2.0,2.0,14,37.281917,39.149783,160.78242,223.93474,2.3103941e+10,48.736136,52.756205,141.41093,156.43824,0.19894826
500000.0,4096,8192,EVQ-Cosh tau=2.0,2.0,12,45.934587,47.855232,118.69344,169.06981,2.6575884e+11,58.306602,62.09262,103.276,115.04319,2.0022292
500000.0,4096,16384,EVQ-Cosh tau=2.0,2.0,10,55.301485,57.186119,85.346615,125.19514,1.0517829e+09,68.39069,71.718176,72.754778,82.344813,17.373421
500000.0,4096,4096,EVQ-Cosh tau=2.5,2.5,11,48.687256,50.601812,104.91406,152.2889,1.2029882e+10,61.748353,65.555243,91.016858,101.69399,1.5826486
500000.0,4096,8192,EVQ-Cosh tau=2.5,2.5,10,58.63602,60.545074,74.998565,111.02847,1.8934789e+09,71.826253,75.32102,64.190046,72.486274,14.603669
500000.0,4096,16384,EVQ-Cosh tau=2.5,2.5,8,68.707308,70.517873,52.318174,79.640558,2.7070202e+10,81.701118,84.723889,44.352455,50.186328,105.06256
500000.0,4096,4096,EVQ-Cosh tau=3.0,3.0,9,61.134409,62.989229,65.862273,100.31941,1.569717e+09,75.14627,78.485653,55.999954,63.660621,10.890423
500000.0,4096,8192,EVQ-Cosh tau=3.0,3.0,7,71.893339,73.678366,45.253087,70.228107,2.0230699e+09,85.036549,88.130276,38.404326,43.389621,85.418413
500000.0,4096,16384,EVQ-Cosh tau=3.0,3.0,6,82.025235,83.67592,30.43069,48.459604,2.2015466e+09,94.098916,96.648123,25.65392,29.176119,518.87106
500000.0,4096,4096,cos-opt,,1,120.60269,120.99615,1.0004728,2.9766651,52.037877,123.90732,125.11106,1.0007414,1.0728706,2160.636
500000.0,4096,8192,cos-opt,,1,123.08756,123.66609,1.0001184,1.471243,13.301116,123.90881,125.22181,1.0005314,1.0179949,4396.4116
500000.0,4096,16384,cos-opt,,1,123.70428,124.29591,1.0000297,1.1164082,11.393343,123.91336,125.24888,1.0004235,1.0042633,8284.1304
500000.0,4096,4096,full-opt,,1,123.73041,124.32467,1.0005334,1.0942645,10.996054,123.87897,125.22709,1.0154266,1.0155573,2167.5766
500000.0,4096,8192,full-opt,,1,123.86325,124.45778,1.000128,1.0239087,10.921802,123.90433,125.25163,1.0028174,1.0028705,4336.2827
500000.0,4096,16384,full-opt,,1,123.8979,124.49172,1.0000303,1.005996,10.901797,123.91258,125.25562,1.000817,1.0008244,8878.6393
500000.0,4096,4096,logdet-opt,,1,123.73097,124.32518,1.0005452,1.0939869,10.98775,123.87973,125.22721,1.0152095,1.0155143,2171.4261
500000.0,4096,8192,logdet-opt,,1,123.86329,124.45782,1.0001276,1.0238785,10.919454,123.90374,125.25097,1.0031627,1.003222,4407.4198
500000.0,4096,16384,logdet-opt,,1,123.89795,124.49178,1.0000304,1.0059598,10.901107,123.9126,125.25563,1.0008064,1.0008262,8815.2772
500000.0,4096,4096,uniform,,0,127.78291,127.78291,0.00057843966,0.09579894,1.4274414,127.96693,127.96698,0.016788945,0.016426657,4094.436
500000.0,4096,8192,uniform,,0,127.94467,127.94467,0.00013033342,0.024464943,1.1934794,127.99198,127.992,0.0041027334,0.004012649,8190.9883
500000.0,4096,16384,uniform,,0,127.9863,127.9863,3.1149178e-05,0.00604832,1.0922113,127.99791,127.99792,0.0010626135,0.0010405459,16383.233
10000.0,4096,4096,geometric,,7,39.284338,40.23826,115.72347,199.18559,1.4654368e+11,58.190347,58.634069,87.356654,103.59447,0.17239691
10000.0,4096,8192,geometric,,2,53.413365,54.037808,65.157119,122.62153,1.0376819e+10,75.221407,75.099486,46.289616,54.126598,4.4475848
10000.0,4096,16384,geometric,,0,69.974242,70.173961,34.268437,68.061512,8.6569436e+10,92.110973,92.241165,24.487608,25.437142,114.76183
10000.0,4096,4096,EVQ-Cosh tau=0.5,0.5,6,41.470879,42.440657,107.11457,185.24845,2.3482789e+11,60.656099,61.096879,80.800389,95.80266,0.28200309
10000.0,4096,8192,EVQ-Cosh tau=0.5,0.5,2,55.839578,56.469278,60.046468,113.57548,3.1846194e+10,77.628739,77.511545,42.581581,49.817112,6.9570863
10000.0,4096,16384,EVQ-Cosh tau=0.5,0.5,0,72.41512,72.615767,31.407266,62.781268,7.0379201e+09,94.178644,94.314054,22.211499,23.249305,170.20984
10000.0,4096,4096,EVQ-Cosh tau=1.0,1.0,6,47.896632,48.901564,85.567953,150.1371,1.0373136e+11,67.661526,68.109394,64.214297,76.33327,1.0188438
10000.0,4096,8192,EVQ-Cosh tau=1.0,1.0,2,62.791471,63.429699,47.325772,90.941103,1.2219164e+11,84.262652,84.156444,33.361734,39.124161,21.644717
10000.0,4096,16384,EVQ-Cosh tau=1.0,1.0,0,79.219212,79.420105,24.311599,49.617975,3.3778277e+09,99.755963,99.88078,17.079433,17.880607,406.56224
10000.0,4096,4096,EVQ-Cosh tau=1.4,1.4,5,55.723778,56.749715,65.101261,116.45178,5.4166034e+09,75.757429,76.190227,48.535614,57.888407,3.9630458
10000.0,4096,8192,EVQ-Cosh tau=1.4,1.4,2,70.927661,71.565254,35.365631,69.3855,8.1751955e+10,91.576403,91.46952,24.633928,29.16404,70.635814
10000.0,4096,16384,EVQ-Cosh tau=1.4,1.4,0,86.836667,87.035201,17.718965,37.220757,8.3713117e+10,105.63002,105.73128,12.394947,12.934035,1084.9464
10000.0,4096,4096,EVQ-Cosh tau=2.0,2.0,4,70.486331,71.4957,37.981457,70.98188,2.2455162e+09,89.826507,90.201104,27.851327,33.649263,35.881438
10000.0,4096,8192,EVQ-Cosh tau=2.0,2.0,1,85.349621,85.956375,19.788925,40.798167,6.2101337e+10,103.46734,103.36519,13.465681,16.252126,414.94974
10000.0,4096,16384,EVQ-Cosh tau=2.0,2.0,0,99.456882,99.645628,9.3596771,21.061966,2.3326602e+09,114.49035,114.56992,6.2248765,6.7107644,4221.7012
10000.0,4096,4096,EVQ-Cosh tau=2.5,2.5,3,83.67228,84.610598,22.032012,43.389151,1.313566e+09,101.13691,101.49766,15.826942,19.412979,173.55478
10000.0,4096,8192,EVQ-Cosh tau=2.5,2.5,1,97.244908,97.797048,10.904017,23.940321,6.50516e+10,112.20289,112.12033,7.2863353,8.9004037,1546.0129
10000.0,4096,16384,EVQ-Cosh tau=2.5,2.5,0,109.00028,109.17811,4.7966722,11.779869,1.6521035e+10,120.361,120.41344,2.9500914,3.3688025,10188.987
10000.0,4096,4096,EVQ-Cosh tau=3.0,3.0,2,95.895937,96.720691,11.872611,25.191371,1.0916898e+09,110.56161,110.92465,8.5297842,10.354636,667.78509
10000.0,4096,8192,EVQ-Cosh tau=3.0,3.0,1,107.4012,107.88649,5.4707402,13.162255,5.2604496e+08,118.80405,118.73686,3.6000106,4.4915985,4014.2714
10000.0,4096,16384,EVQ-Cosh tau=3.0,3.0,0,116.4394,116.59565,2.1319674,6.0926408,4.2875111e+08,124.32495,124.37607,1.251632,1.4779903,14619.944
10000.0,4096,4096,cos-opt,,1,123.71319,124.22099,1.0004739,1.1723496,11.487037,124.31037,125.239,1.0005757,1.0092827,2317.5224
10000.0,4096,8192,cos-opt,,1,124.1342,124.49072,1.0001192,1.0426448,9.6183438,124.86544,125.25287,1.0003074,1.0022294,4597.0651
10000.0,4096,16384,cos-opt,,0,124.64675,124.73621,1.0000303,1.0104961,6.3679946,125.2547,125.25639,1.0001363,1.0004317,8714.2409
10000.0,4096,4096,full-opt,,1,123.83218,124.34049,1.0005389,1.0940343,10.596061,124.2875,125.22872,1.01469,1.0147176,2190.9332
10000.0,4096,8192,full-opt,,1,124.1644,124.51997,1.0001276,1.023859,9.435848,124.86222,125.25103,1.0030633,1.003179,4636.6891
10000.0,4096,16384,full-opt,,0,124.65475,124.7439,1.0000306,1.0059486,6.337484,125.25409,125.25574,1.0007397,1.0007619,9446.4868
10000.0,4096,4096,logdet-opt,,1,123.83146,124.33981,1.0005491,1.0949466,10.615744,124.29141,125.23234,1.0125818,1.0127775,2290.1882
10000.0,4096,8192,logdet-opt,,1,124.16427,124.51986,1.0001261,1.0240511,9.4403728,124.8629,125.25171,1.0027182,1.0028566,4420.063
10000.0,4096,16384,logdet-opt,,0,124.65472,124.74387,1.0000305,1.0059883,6.338231,125.25407,125.25573,1.0007569,1.000777,9358.1342
10000.0,4096,4096,uniform,,0,127.78291,127.78291,0.00057843966,0.09579894,1.4274414,127.96693,127.96698,0.016788945,0.016426657,4094.436
10000.0,4096,8192,uniform,,0,127.94467,127.94467,0.00013033342,0.024464943,1.1934794,127.99198,127.992,0.0041027334,0.004012649,8190.9883
10000.0,4096,16384,uniform,,0,127.9863,127.9863,3.1149178e-05,0.00604832,1.0922113,127.99791,127.99792,0.0010626135,0.0010405459,16383.233
