[init] device=cuda  dtype=torch.bfloat16  autocast=True
########################################################################
  Phase 17C: 454M staged continuation 1024 → 2048
  Strategy: TRAIN ALL FIRST, then EVAL ALL (avoids compile OOM)
########################################################################
  device=cuda dtype=torch.bfloat16 autocast=True
  L_train=2048 tau*=1.414214 tokens=500M seed=42
  lr=2.0e-04 micro_bs=5 grad_accum=4 effective_bs=20
  passkey_mix=5.00%
  dataset=fineweb-edu
  eval_lengths=[2048, 4096, 8192, 16384, 24576, 32768, 40960, 49152]
  geo_init: /root/autodl-tmp/evq_phase17b/454m_geo_seed42_continue1024/model.pt
  evq_init: /root/autodl-tmp/evq_phase17b/454m_evq_seed42_continue1024/model.pt

########################################################################
  PHASE 1: TRAINING (all models)
########################################################################

  Loading training data...
  [data] loading stage-3 cache: /root/autodl-tmp/evq_phase17c_2048_continue/data/train_rechunk_stage3_500000000_2048.pt
  [data] cached: 244140 chunks (500.0M tokens)
  train_data: torch.Size([244140, 2048]) (500M tokens)
  Loading validation data...
  Using cached val: /root/autodl-tmp/evq_phase17/val_proof-pile-2_5000000.pt
  [passkey-train] loading cached mixed tensor: /root/autodl-tmp/evq_phase17c_2048_continue/data/mixed_fineweb-edu_seed42_pk5_500000000_2048.pt
  [passkey-train] cached shape=(244140, 2048)

========================================================================
  TRAIN: geo_454m_1024_to_2048_continue  |  init=/root/autodl-tmp/evq_phase17b/454m_geo_seed42_continue1024/model.pt
  Continue @L=2048, tokens=500M, seed=42, tau=1.414214
========================================================================
  Model params: 454.2M
  torch.compile enabled (reduce-overhead)
  inv_freq set: max=1.00000000 min=0.00000301
  checkpoint_steps=[3051, 6103, 9155, 12207]
  Train cfg: lr=2.0e-04, min_lr=2.0e-05, micro_bs=5, grad_accum=4, effective_bs=20, chunks=244140, steps=12207, warmup=244, gpu_chunks=8
    step 4151/12207  loss=0.7946  lr=1.57e-04  GPU=27.0GB  ETA=109min
    step 4201/12207  loss=0.6092  lr=1.56e-04  GPU=27.0GB  ETA=108min
    step 4251/12207  loss=0.6175  lr=1.55e-04  GPU=27.0GB  ETA=107min
    step 4301/12207  loss=0.7377  lr=1.54e-04  GPU=27.0GB  ETA=107min
    step 4351/12207  loss=0.5791  lr=1.53e-04  GPU=27.0GB  ETA=106min
    step 4401/12207  loss=0.7454  lr=1.52e-04  GPU=27.0GB  ETA=105min
    step 4451/12207  loss=0.9961  lr=1.50e-04  GPU=27.0GB  ETA=105min
    step 4501/12207  loss=0.8710  lr=1.49e-04  GPU=27.0GB  ETA=104min
    step 4551/12207  loss=0.8107  lr=1.48e-04  GPU=27.0GB  ETA=103min
  [gpu-chunk 4/8] loaded (30517, 2048) (0.5GB)
    step 4601/12207  loss=0.6793  lr=1.47e-04  GPU=27.0GB  ETA=103min
    step 4651/12207  loss=0.7214  lr=1.46e-04  GPU=27.0GB  ETA=102min
    step 4701/12207  loss=0.6348  lr=1.45e-04  GPU=27.0GB  ETA=101min
    step 4751/12207  loss=0.5943  lr=1.44e-04  GPU=27.0GB  ETA=101min
    step 4801/12207  loss=0.5090  lr=1.43e-04  GPU=27.0GB  ETA=100min
    step 4851/12207  loss=0.8013  lr=1.42e-04  GPU=27.0GB  ETA=99min
    step 4901/12207  loss=0.6909  lr=1.41e-04  GPU=27.0GB  ETA=99min
    step 4951/12207  loss=0.5767  lr=1.40e-04  GPU=27.0GB  ETA=98min
    step 5001/12207  loss=0.8658  lr=1.38e-04  GPU=27.0GB  ETA=97min
    step 5051/12207  loss=0.7925  lr=1.37e-04  GPU=27.0GB  ETA=97min
    step 5101/12207  loss=0.4643  lr=1.36e-04  GPU=27.0GB  ETA=96min
    step 5151/12207  loss=0.7826  lr=1.35e-04  GPU=27.0GB  ETA=95min
    step 5201/12207  loss=0.7156  lr=1.34e-04  GPU=27.0GB  ETA=94min
    step 5251/12207  loss=0.9111  lr=1.33e-04  GPU=27.0GB  ETA=94min
    step 5301/12207  loss=0.7937  lr=1.32e-04  GPU=27.0GB  ETA=93min
    step 5351/12207  loss=0.7381  lr=1.31e-04  GPU=27.0GB  ETA=92min
    step 5401/12207  loss=0.6975  lr=1.29e-04  GPU=27.0GB  ETA=92min
    step 5451/12207  loss=0.8519  lr=1.28e-04  GPU=27.0GB  ETA=91min
    step 5501/12207  loss=0.6643  lr=1.27e-04  GPU=27.0GB  ETA=90min
    step 5551/12207  loss=0.7355  lr=1.26e-04  GPU=27.0GB  ETA=90min
    step 5601/12207  loss=0.6270  lr=1.25e-04  GPU=27.0GB  ETA=89min
    step 5651/12207  loss=0.7416  lr=1.24e-04  GPU=27.0GB  ETA=88min
    step 5701/12207  loss=0.8741  lr=1.22e-04  GPU=27.0GB  ETA=88min
    step 5751/12207  loss=0.5209  lr=1.21e-04  GPU=27.0GB  ETA=87min
    step 5801/12207  loss=0.7000  lr=1.20e-04  GPU=27.0GB  ETA=86min
    step 5851/12207  loss=0.8221  lr=1.19e-04  GPU=27.0GB  ETA=86min
    step 5901/12207  loss=0.8097  lr=1.18e-04  GPU=27.0GB  ETA=85min
    step 5951/12207  loss=0.5332  lr=1.17e-04  GPU=27.0GB  ETA=84min
    step 6001/12207  loss=0.6056  lr=1.15e-04  GPU=27.0GB  ETA=84min
    step 6051/12207  loss=0.6532  lr=1.14e-04  GPU=27.0GB  ETA=83min
  [gpu-chunk 5/8] loaded (30517, 2048) (0.5GB)
    step 6101/12207  loss=0.6975  lr=1.13e-04  GPU=27.0GB  ETA=82min

  [CKPT-SAVE] geo_454m_1024_to_2048_continue step_06103 (50.0%)
    step 6151/12207  loss=0.7559  lr=1.12e-04  GPU=27.0GB  ETA=82min
    step 6201/12207  loss=0.7489  lr=1.11e-04  GPU=27.0GB  ETA=81min
    step 6251/12207  loss=0.7916  lr=1.09e-04  GPU=27.0GB  ETA=80min
    step 6301/12207  loss=0.7450  lr=1.08e-04  GPU=27.0GB  ETA=80min
    step 6351/12207  loss=0.6663  lr=1.07e-04  GPU=27.0GB  ETA=79min
    step 6401/12207  loss=0.8917  lr=1.06e-04  GPU=27.0GB  ETA=78min
    step 6451/12207  loss=0.6416  lr=1.05e-04  GPU=27.0GB  ETA=78min
    step 6501/12207  loss=0.6248  lr=1.04e-04  GPU=27.0GB  ETA=77min
    step 6551/12207  loss=0.6953  lr=1.02e-04  GPU=27.0GB  ETA=76min
    step 6601/12207  loss=0.9023  lr=1.01e-04  GPU=27.0GB  ETA=76min
    step 6651/12207  loss=0.7805  lr=1.00e-04  GPU=27.0GB  ETA=75min
    step 6701/12207  loss=0.6890  lr=9.88e-05  GPU=27.0GB  ETA=74min
    step 6751/12207  loss=0.8161  lr=9.76e-05  GPU=27.0GB  ETA=74min
    step 6801/12207  loss=0.5319  lr=9.65e-05  GPU=27.0GB  ETA=73min
