ratio_L_over_b,L,p,C_geo,C_hybrid,delta_C_hybrid_minus_geo
1.6,16000,0.4040404040404041,0.13039361770037022,0.10655322311299409,-0.023840394587376135
1.6,16000,0.4141414141414142,0.13331647998022123,0.10893766905610003,-0.024378810924121197
1.6,16000,0.42424242424242425,0.1362393422600722,0.11132211499920595,-0.024917227260866245
1.6,16000,0.43434343434343436,0.13916220453992317,0.11370656094231191,-0.025455643597611266
1.6,16000,0.4444444444444445,0.14208506681977418,0.11609100688541785,-0.02599405993435633
1.6,16000,0.4545454545454546,0.1450079290996252,0.11847545282852379,-0.02653247627110142
1.6,16000,0.4646464646464647,0.14793079137947618,0.12085989877162971,-0.027070892607846467
1.6,16000,0.4747474747474748,0.15085365365932718,0.12324434471473565,-0.02760930894459153
1.6,16000,0.48484848484848486,0.15377651593917813,0.12562879065784158,-0.02814772528133655
1.6,16000,0.494949494949495,0.15669937821902913,0.12801323660094752,-0.028686141618081612
1.6,16000,0.5050505050505051,0.15962224049888013,0.13039768254405348,-0.029224557954826647
1.6,16000,0.5151515151515152,0.16254510277873113,0.1327821284871594,-0.029762974291571737
1.6,16000,0.5252525252525253,0.16546796505858213,0.13516657443026533,-0.0303013906283168
1.6,16000,0.5353535353535354,0.16839082733843308,0.13755102037337127,-0.030839806965061806
1.6,16000,0.5454545454545455,0.1713136896182841,0.13993546631647721,-0.031378223301806896
1.6,16000,0.5555555555555556,0.17423655189813506,0.14231991225958315,-0.0319166396385519
1.6,16000,0.5656565656565657,0.17715941417798609,0.1447043582026891,-0.03245505597529699
1.6,16000,0.5757575757575758,0.18008227645783706,0.14708880414579503,-0.03299347231204203
1.6,16000,0.5858585858585859,0.18300513873768803,0.14947325008890094,-0.03353188864878709
1.6,16000,0.595959595959596,0.18592800101753904,0.1518576960320069,-0.034070304985532124
1.6,16000,0.6060606060606061,0.18885086329739,0.15424214197511285,-0.03460872132227716
1.6,16000,0.6161616161616162,0.19177372557724104,0.1566265879182188,-0.03514713765902225
1.6,16000,0.6262626262626263,0.19469658785709199,0.15901103386132473,-0.035685553995767255
1.6,16000,0.6363636363636365,0.19761945013694301,0.16139547980443067,-0.036223970332512345
1.6,16000,0.6464646464646465,0.200542312416794,0.1637799257475366,-0.03676238666925738
1.6,16000,0.6565656565656566,0.20346517469664496,0.16616437169064252,-0.03730080300600244
1.6,16000,0.6666666666666667,0.20638803697649596,0.1685488176337485,-0.03783921934274748
1.6,16000,0.6767676767676768,0.20931089925634694,0.17093326357685443,-0.03837763567949251
