distance,score_standard,score_sigmoid,score_diff
184,0.39055103063583374,0.4990474581718445,0.10849642753601074
185,0.35444194078445435,0.2823506295681,-0.07209131121635437
186,0.33774688839912415,0.23710018396377563,-0.10064670443534851
187,0.3429741859436035,0.39965152740478516,0.05667734146118164
188,0.3568432927131653,0.6153202056884766,0.2584769129753113
189,0.3638349771499634,0.681708574295044,0.31787359714508057
190,0.3598404824733734,0.5339897871017456,0.1741493046283722
191,0.35370099544525146,0.3029753565788269,-0.05072563886642456
192,0.35593679547309875,0.19466228783130646,-0.1612745076417923
193,0.36586153507232666,0.30304551124572754,-0.06281602382659912
194,0.36979180574417114,0.5271811485290527,0.1573893427848816
195,0.3528519570827484,0.6661561131477356,0.3133041560649872
196,0.31415167450904846,0.6025785207748413,0.28842684626579285
197,0.2714083194732666,0.4060818552970886,0.13467353582382202
198,0.24984093010425568,0.2642267048358917,0.014385774731636047
199,0.26374828815460205,0.30744895339012146,0.04370066523551941
200,0.3056876063346863,0.4904714822769165,0.18478387594223022
201,0.35198694467544556,0.6379697322845459,0.28598278760910034
202,0.37990602850914,0.6095226407051086,0.22961661219596863
203,0.3826698064804077,0.42974168062210083,0.047071874141693115
204,0.3712364435195923,0.26377129554748535,-0.10746514797210693
205,0.3631093502044678,0.2628159523010254,-0.10029339790344238
206,0.3685685396194458,0.42435938119888306,0.055790841579437256
207,0.3851465582847595,0.5965946912765503,0.21144813299179077
208,0.4027528464794159,0.6215285062789917,0.2187756597995758
209,0.4128081202507019,0.4823462963104248,0.0695381760597229
210,0.4129800796508789,0.31755924224853516,-0.09542083740234375
211,0.40505802631378174,0.2893734276294708,-0.11568459868431091
212,0.39055541157722473,0.4299681782722473,0.03941276669502258
213,0.369845986366272,0.6099878549575806,0.2401418685913086
214,0.3454851806163788,0.6593294143676758,0.313844233751297
215,0.3247694969177246,0.5275965929031372,0.2028270959854126
216,0.31674832105636597,0.33358946442604065,0.016841143369674683
217,0.32491928339004517,0.2559475898742676,-0.06897169351577759
218,0.342495322227478,0.36563101410865784,0.02313569188117981
219,0.35609227418899536,0.5568675994873047,0.20077532529830933
220,0.3561025857925415,0.6433403491973877,0.2872377634048462
221,0.3448899984359741,0.5327800512313843,0.18789005279541016
222,0.3346515893936157,0.31813257932662964,-0.016519010066986084
223,0.33568358421325684,0.1979186087846756,-0.13776497542858124
224,0.34515106678009033,0.29540544748306274,-0.04974561929702759
225,0.3473082184791565,0.5414580702781677,0.19414985179901123
226,0.3266644775867462,0.7304900288581848,0.4038255512714386
227,0.28365638852119446,0.7019422054290771,0.4182858169078827
228,0.2387721985578537,0.48423340916633606,0.24546121060848236
229,0.21985656023025513,0.2705095708370209,0.05065301060676575
230,0.24156051874160767,0.24723824858665466,0.005677729845046997
231,0.2933562397956848,0.42990121245384216,0.13654497265815735
232,0.3463103771209717,0.653282880783081,0.3069725036621094
233,0.37370648980140686,0.7232608795166016,0.3495543897151947
234,0.36931735277175903,0.5909309983253479,0.22161364555358887
235,0.3492436408996582,0.3912936747074127,0.04205003380775452
236,0.3369262218475342,0.313933789730072,-0.022992432117462158
237,0.34448325634002686,0.42678168416023254,0.08229842782020569
238,0.3655504286289215,0.6154868602752686,0.24993643164634705
239,0.3840540051460266,0.6928982138633728,0.3088442087173462
240,0.389621376991272,0.5757763385772705,0.18615496158599854
241,0.385521799325943,0.3642406761646271,-0.021281123161315918
242,0.3828711211681366,0.2500053942203522,-0.13286572694778442
243,0.38769567012786865,0.33832836151123047,-0.049367308616638184
244,0.39367252588272095,0.5489358901977539,0.15526336431503296
245,0.3876073956489563,0.6885547637939453,0.300947368144989
246,0.36260443925857544,0.6289758682250977,0.2663714289665222
247,0.3265898823738098,0.42626309394836426,0.09967321157455444
248,0.29793068766593933,0.2700960636138916,-0.02783462405204773
249,0.2914937138557434,0.3086831569671631,0.017189443111419678
250,0.3070599138736725,0.5102705955505371,0.20321068167686462
